ID,ra,dec,sector,camera,ccd,result
287868925,128.202237930876,-74.7712487661539,33,4,4,
281980048,130.412442987573,-75.0726505943303,33,4,4,false
281976078,130.228315805537,-75.0376362277632,33,4,4,false
281975543,129.892539258183,-74.3721233820719,33,4,4,false
287717412,125.910579063869,-74.898736832541,33,4,4,
287868859,127.909859556017,-74.6915729670489,33,4,4,false
287836561,127.646077166614,-74.4029930678086,33,4,4,false
287721873,126.517235614877,-74.0733951194107,33,4,4,false
287962259,129.158340676761,-73.8937117570842,33,4,4,false
287868053,128.114343806059,-73.7288327475866,33,4,4,false
287635063,125.167371635606,-74.0825287541552,33,4,4,false
287721687,126.520533732572,-73.8184033635708,33,4,4,false
287635166,125.462230387873,-73.9636716639141,33,4,4,false
287635369,125.422457902605,-73.7239543342914,33,4,4,false
287496633,124.223742485766,-73.6734482810519,33,4,4,false
287496520,124.0769715727,-73.5426834531027,33,4,4,false
287635688,125.289756871134,-73.3519123204685,33,4,4,
287837283,127.557552309187,-73.6143976509866,33,4,4,false
287837354,127.656679394496,-73.524058593431,33,4,4,
287837751,127.841387587985,-73.0915372514026,33,4,4,false
287837791,127.694485753668,-73.0498819394328,33,4,4,false
287638302,125.660975547435,-73.3194036235968,33,4,4,
287721136,126.50386235404,-73.1904663821348,33,4,4,false
287638198,125.804652426245,-73.2035837855306,33,4,4,false
287718995,125.922829076454,-73.0258017668592,33,4,4,false
287638057,125.621684500634,-73.0548122936577,33,4,4,false
287427875,122.773410527557,-73.5343004632288,33,4,4,false
272549427,121.722683907597,-73.150142570688,33,4,4,false
287495900,123.961637270083,-72.8481349405336,33,4,4,false
287495858,123.962271533025,-72.8055582874843,33,4,4,
287429977,123.282759235271,-72.6191192157775,33,4,4,false
287537326,124.558319032677,-72.6264355991276,33,4,4,false
287495449,124.081228907515,-72.4080942757663,33,4,4,false
307291629,125.121392946619,-71.9537580721801,33,4,4,
307291700,125.411692704846,-71.8693700825796,33,4,4,
272549045,121.694078940524,-72.7159929049176,33,4,4,
287429720,123.482709666418,-72.3682000184976,33,4,4,false
287428985,122.948169895747,-72.3115251963982,33,4,4,false
272469140,120.978742539584,-72.3654368038473,33,4,4,false
287351296,122.311703085912,-72.0927787555666,33,4,4,
287494930,123.682026828529,-71.9949989603745,33,4,4,false
307214465,124.697196838593,-71.6282143471544,33,4,4,false
307214794,124.608273440151,-71.252157417265,33,4,4,false
141811587,92.6088693867107,-77.8445276153417,33,4,4,false
141770740,92.3425911626698,-77.8665146700341,33,4,4,false
141811687,93.0986779310715,-77.8615099601653,33,4,4,false
141865420,93.5342641539093,-77.6924086596015,33,4,4,false
141909912,94.295423030587,-76.9284580803113,33,4,4,false
142017458,96.9486321832594,-76.8360018308848,33,4,4,
142085068,98.2954240180026,-76.5293385460677,33,4,4,false
142108180,98.9367548503009,-76.5143372680688,33,4,4,false
141812037,93.0836702304337,-77.0867611335605,33,4,4,false
141822538,93.1970741417798,-76.9687043235338,33,4,4,false
141865027,93.3453359166493,-76.7291946819255,33,4,4,false
141628321,90.0708952070586,-77.0433026491977,33,4,4,false
141754290,90.9978370502698,-76.7857628684602,33,4,4,false
141866146,93.9427878571171,-76.4647311980582,33,4,4,false
141943206,95.5600856138491,-76.6874066028843,33,4,4,false
142084958,98.2949336937998,-76.2734655863159,33,4,4,false
